supplier_product_id,supplier_product_category,supplier_product_subcategory,supplier_product_quantity,supplier_product_price,supplier_id,product_id,product_name,product_category,product_subcategory,quantity,price
54,Office,Paper,3430,424.39,SUP0027,PROD00054,High-Speed Paper Lamp CFRI,Office,Paper,3415,520.37
55,Beauty,Skincare,4567,94.89,SUP0027,PROD00055,Pro Skincare Set V5TD,Beauty,Skincare,4565,105.58
56,Toys,Action Figures,1962,208.61,SUP0027,PROD00056,Multi-Purpose Action Figures Monitor 8O86,Toys,Action Figures,1932,209.31
57,Office,Paper,2586,803.94,SUP0027,PROD00057,Wireless Paper Bottle PK7C,Office,Paper,2553,944.7
58,Sports,Team Sports,2421,314.26,SUP0027,PROD00058,Classic Team Sports Set KNLM,Sports,Team Sports,2376,343.73
59,Office,Organization,991,67.45,SUP0027,PROD00059,Ergonomic Organization Kit J9TK,Office,Organization,989,86.41
60,Automotive,Electronics,1209,873.43,SUP0027,PROD00060,Lite Electronics System ET7V,Automotive,Electronics,1186,994.43
61,Beauty,Skincare,2723,136.19,SUP0027,PROD00061,Eco Skincare Device LBXI,Beauty,Skincare,2695,161.97
62,Automotive,Accessories,549,71.18,SUP0027,PROD00062,Advanced Accessories Chair BODI,Automotive,Accessories,543,90.06
63,Automotive,Parts,3465,48.31,SUP0027,PROD00063,Classic Parts Bag 2II3,Automotive,Parts,3457,53.47
64,Grocery,Snacks,1271,120.82,SUP0027,PROD00064,Advanced Snacks Speaker 816P,Grocery,Snacks,1240,121.48
65,Beauty,Skincare,2502,18.85,SUP0027,PROD00065,Ergonomic Skincare Blender YBOE,Beauty,Skincare,2489,20.3
66,Sports,Fitness,3181,543.36,SUP0027,PROD00066,Eco Fitness Blender DYGF,Sports,Fitness,3144,738.82
67,Automotive,Accessories,4383,701.85,SUP0027,PROD00067,Multi-Purpose Accessories Chair UOYP,Automotive,Accessories,4354,770.87
68,Automotive,Parts,3401,159.66,SUP0027,PROD00068,Multi-Purpose Parts Camera XCAZ,Automotive,Parts,3393,223.32
69,Beauty,Makeup,393,285.71,SUP0027,PROD00069,Eco Makeup Shoes 3X2C,Beauty,Makeup,388,344.22
70,Home & Kitchen,Storage,1830,29.57,SUP0027,PROD00070,Advanced Storage Bag GVXV,Home & Kitchen,Storage,1823,33.69
71,Grocery,Pantry,1790,59.94,SUP0027,PROD00071,Multi-Purpose Pantry Kit T55N,Grocery,Pantry,1748,61.45
72,Electronics,Audio,1039,1202.0,SUP0027,PROD00072,Eco Audio Bottle U5Y7,Electronics,Audio,1000,1296.48
73,Sports,Team Sports,1873,278.0,SUP0027,PROD00073,Pro Team Sports Helmet 7TNE,Sports,Team Sports,1844,377.08
74,Home & Kitchen,Cookware,4659,796.66,SUP0005,PROD00074,Compact Cookware Mixer 94V7,Home & Kitchen,Cookware,4647,798.86
75,Home & Kitchen,Cookware,3925,52.98,SUP0005,PROD00075,Ultra Cookware Kit OUYK,Home & Kitchen,Cookware,3891,68.01
76,Office,Organization,4100,678.57,SUP0005,PROD00076,Ultra Organization Mixer HSLK,Office,Organization,4054,804.38
77,Beauty,Body,1988,263.07,SUP0005,PROD00077,Multi-Purpose Body Cleaner 4O47,Beauty,Body,1982,269.46
78,Automotive,Tools,4522,1025.55,SUP0005,PROD00078,High-Speed Tools Chair UNV3,Automotive,Tools,4472,1145.61
79,Electronics,Cameras,3757,1223.83,SUP0005,PROD00079,Wireless Cameras Helmet H9F0,Electronics,Cameras,3740,1587.27
80,Sports,Running,4206,199.31,SUP0005,PROD00080,Classic Running Lamp 5UQZ,Sports,Running,4159,259.92
81,Grocery,Pantry,2555,45.22,SUP0005,PROD00081,High-Speed Pantry Camera TGRV,Grocery,Pantry,2546,64.41
82,Sports,Team Sports,1511,713.13,SUP0005,PROD00082,Multi-Purpose Team Sports Set J3CA,Sports,Team Sports,1474,744.74
83,Home & Kitchen,Storage,3089,380.82,SUP0005,PROD00083,High-Speed Storage System 2MRT,Home & Kitchen,Storage,3068,476.64
84,Beauty,Makeup,796,206.82,SUP0005,PROD00084,Adjustable Makeup Set FBVJ,Beauty,Makeup,780,236.56
85,Sports,Running,1373,191.68,SUP0005,PROD00085,Durable Running System FALW,Sports,Running,1339,266.89
86,Home & Kitchen,Cleaning,2846,39.41,SUP0005,PROD00086,Eco Cleaning Camera 2ZVG,Home & Kitchen,Cleaning,2836,40.24
87,Office,Organization,2056,525.81,SUP0005,PROD00087,Wireless Organization Chair 46P4,Office,Organization,2053,538.04
88,Sports,Fitness,55,157.91,SUP0005,PROD00088,Wireless Fitness Bag 7K1V,Sports,Fitness,18,221.69
89,Automotive,Parts,1833,1092.95,SUP0005,PROD00089,Pro Parts Lamp 3QL0,Automotive,Parts,1831,1125.25
90,Office,Furniture,549,17.17,SUP0005,PROD00090,Classic Furniture Lamp IXIR,Office,Furniture,499,22.61
91,Toys,Puzzles,3320,232.34,SUP0005,PROD00091,Premium Puzzles Mixer RO3N,Toys,Puzzles,3297,252.93
92,Beauty,Body,2931,99.8,SUP0005,PROD00092,Pro Body Lamp QG76,Beauty,Body,2927,122.12
93,Automotive,Tools,979,1002.33,SUP0005,PROD00093,Smart Tools Bag W5TC,Automotive,Tools,941,1326.88
94,Office,Organization,767,742.75,SUP0005,PROD00094,Adjustable Organization Monitor S5MI,Office,Organization,718,929.17
95,Home & Kitchen,Cleaning,3889,387.54,SUP0005,PROD00095,Premium Cleaning Set E4W5,Home & Kitchen,Cleaning,3874,432.31
96,Automotive,Care,706,1240.61,SUP0005,PROD00096,Ultra Care Keyboard CJCR,Automotive,Care,693,1441.83
97,Home & Kitchen,Appliances,4683,194.94,SUP0005,PROD00097,Classic Appliances Set 91RD,Home & Kitchen,Appliances,4671,223.15
98,Beauty,Haircare,4825,68.92,SUP0005,PROD00098,Wireless Haircare Bundle 3IEB,Beauty,Haircare,4808,71.74
99,Automotive,Parts,3837,1297.3,SUP0005,PROD00099,Pro Parts Lamp 27Z0,Automotive,Parts,3788,1320.85
100,Grocery,Produce,1218,13.59,SUP0005,PROD00100,Compact Produce Set RNU2,Grocery,Produce,1179,15.74
101,Sports,Fitness,637,487.25,SUP0005,PROD00101,Adjustable Fitness Keyboard DF6Y,Sports,Fitness,601,679.75
102,Grocery,Beverages,3857,131.93,SUP0005,PROD00102,Premium Beverages Bundle IH0V,Grocery,Beverages,3851,158.43
103,Toys,Action Figures,92,269.98,SUP0005,PROD00103,Durable Action Figures Lamp R70R,Toys,Action Figures,76,296.43
104,Sports,Outdoor,4566,486.57,SUP0005,PROD00104,Wireless Outdoor Blender 72T4,Sports,Outdoor,4530,538.97
105,Beauty,Haircare,3326,181.23,SUP0005,PROD00105,Smart Haircare Chair QY0V,Beauty,Haircare,3320,190.58
106,Electronics,Audio,1220,445.77,SUP0005,PROD00106,Durable Audio Device YOKQ,Electronics,Audio,1183,627.64
107,Beauty,Makeup,1546,108.25,SUP0005,PROD00107,Smart Makeup Mixer 35HB,Beauty,Makeup,1528,140.02
108,Automotive,Electronics,2339,240.53,SUP0005,PROD00108,Adjustable Electronics Printer WOLV,Automotive,Electronics,2295,245.32
109,Automotive,Parts,2228,346.18,SUP0005,PROD00109,Multi-Purpose Parts Lamp X1TC,Automotive,Parts,2227,357.42
110,Office,Printers,1989,20.24,SUP0005,PROD00110,Multi-Purpose Printers Helmet D8FP,Office,Printers,1960,27.82
111,Beauty,Skincare,3169,137.2,SUP0005,PROD00111,Ultra Skincare Camera JCT3,Beauty,Skincare,3167,177.57
112,Office,Furniture,3724,535.52,SUP0005,PROD00112,Wireless Furniture Monitor MMJV,Office,Furniture,3716,623.1
113,Home & Kitchen,Appliances,4405,426.49,SUP0005,PROD00113,Wireless Appliances Lamp P4WK,Home & Kitchen,Appliances,4381,496.11
114,Office,Paper,4796,194.59,SUP0005,PROD00114,Adjustable Paper Lamp GLOJ,Office,Paper,4771,243.62
115,Office,Stationery,683,363.72,SUP0005,PROD00115,High-Speed Stationery System XUIH,Office,Stationery,659,442.18
116,Home & Kitchen,Storage,3357,137.11,SUP0005,PROD00116,Wireless Storage Camera RHZ1,Home & Kitchen,Storage,3343,170.1
117,Electronics,Laptops,3663,389.82,SUP0005,PROD00117,Wireless Laptops Keyboard DQS9,Electronics,Laptops,3650,494.4
118,Toys,Puzzles,1359,48.9,SUP0005,PROD00118,Compact Puzzles Bundle IQ28,Toys,Puzzles,1331,65.36
119,Home & Kitchen,Cookware,3702,444.01,SUP0005,PROD00119,Pro Cookware Set TLON,Home & Kitchen,Cookware,3652,550.94
120,Toys,Educational,4577,5.39,SUP0005,PROD00120,Pro Educational Set SXNH,Toys,Educational,4570,7.03
121,Office,Paper,2668,18.61,SUP0005,PROD00121,Lite Paper Monitor C0YF,Office,Paper,2622,20.21
122,Toys,Action Figures,1067,108.64,SUP0005,PROD00122,Multi-Purpose Action Figures Bottle XQKC,Toys,Action Figures,1027,110.89
123,Sports,Team Sports,4361,132.49,SUP0005,PROD00123,Wireless Team Sports Set 4OQJ,Sports,Team Sports,4318,139.06
124,Automotive,Parts,294,92.44,SUP0005,PROD00124,Adjustable Parts Lamp PCCN,Automotive,Parts,253,108.69
125,Office,Furniture,4557,541.5,SUP0005,PROD00125,Adjustable Furniture Device 1FOX,Office,Furniture,4545,700.69
126,Electronics,Cameras,564,1578.56,SUP0005,PROD00126,Wireless Cameras Cleaner 1TZB,Electronics,Cameras,518,1665.23
127,Electronics,Audio,3232,468.18,SUP0005,PROD00127,Classic Audio Mixer QEN5,Electronics,Audio,3225,474.97
128,Beauty,Makeup,2783,268.78,SUP0005,PROD00128,Eco Makeup Lamp JKXM,Beauty,Makeup,2743,306.71
129,Beauty,Fragrance,1766,69.77,SUP0005,PROD00129,Compact Fragrance Camera JCSD,Beauty,Fragrance,1760,93.68
130,Beauty,Skincare,2423,122.56,SUP0005,PROD00130,Wireless Skincare Camera 4WCF,Beauty,Skincare,2405,127.17
131,Automotive,Electronics,2834,265.43,SUP0005,PROD00131,Classic Electronics Keyboard A5Z6,Automotive,Electronics,2814,364.98
132,Electronics,Laptops,462,680.77,SUP0005,PROD00132,Smart Laptops Blender IU9X,Electronics,Laptops,455,850.69
133,Grocery,Frozen,1554,182.87,SUP0005,PROD00133,Ultra Frozen Helmet BI6P,Grocery,Frozen,1530,190.17
134,Home & Kitchen,Decor,4447,568.57,SUP0005,PROD00134,Wireless Decor Keyboard NQ7N,Home & Kitchen,Decor,4408,728.46
135,Grocery,Snacks,4959,124.81,SUP0005,PROD00135,Smart Snacks Chair RA5N,Grocery,Snacks,4912,152.35
136,Automotive,Accessories,3241,434.87,SUP0005,PROD00136,Eco Accessories Cleaner 9EOE,Automotive,Accessories,3232,489.4
137,Automotive,Parts,278,153.08,SUP0005,PROD00137,Advanced Parts Lamp VMCQ,Automotive,Parts,245,162.53
138,Office,Organization,433,436.99,SUP0005,PROD00138,Advanced Organization Blender FFP2,Office,Organization,430,511.7
139,Automotive,Parts,4151,405.69,SUP0005,PROD00139,Wireless Parts Monitor P4PG,Automotive,Parts,4141,573.78
140,Beauty,Makeup,4374,164.88,SUP0005,PROD00140,Wireless Makeup Kit 5IHI,Beauty,Makeup,4337,190.17
141,Sports,Outdoor,377,387.76,SUP0005,PROD00141,Compact Outdoor Camera OVP1,Sports,Outdoor,360,395.25
142,Grocery,Beverages,1074,160.43,SUP0005,PROD00142,Advanced Beverages Printer GTOO,Grocery,Beverages,1053,171.43
143,Electronics,Audio,1546,963.55,SUP0005,PROD00143,Adjustable Audio Mixer CXU9,Electronics,Audio,1511,1203.87
144,Toys,Dolls,2902,214.88,SUP0005,PROD00144,Premium Dolls Cleaner R2K1,Toys,Dolls,2871,239.44
145,Beauty,Haircare,740,41.25,SUP0005,PROD00145,High-Speed Haircare Mixer 96G5,Beauty,Haircare,701,50.46
146,Toys,Action Figures,949,239.92,SUP0005,PROD00146,Lite Action Figures Bottle PIYH,Toys,Action Figures,920,298.18
147,Grocery,Pantry,2123,50.35,SUP0005,PROD00147,Adjustable Pantry Device HA6E,Grocery,Pantry,2079,64.17
148,Sports,Cycling,72,144.04,SUP0005,PROD00148,Compact Cycling Keyboard 7WG6,Sports,Cycling,32,152.63
149,Beauty,Body,345,111.27,SUP0005,PROD00149,Lite Body Blender WW7I,Beauty,Body,323,113.54
150,Sports,Running,2535,419.22,SUP0005,PROD00150,Classic Running Chair 2RZ5,Sports,Running,2507,516.39
151,Grocery,Snacks,1754,182.28,SUP0005,PROD00151,Compact Snacks Bag JNXE,Grocery,Snacks,1724,193.2
152,Beauty,Fragrance,4906,13.87,SUP0005,PROD00152,Classic Fragrance Shoes MSST,Beauty,Fragrance,4892,18.91
153,Beauty,Skincare,4018,235.55,SUP0005,PROD00153,Smart Skincare Shoes I5M1,Beauty,Skincare,3978,321.71
154,Home & Kitchen,Cookware,4598,203.59,SUP0005,PROD00154,Durable Cookware Cleaner TEW7,Home & Kitchen,Cookware,4592,230.71
155,Automotive,Parts,1426,945.07,SUP0005,PROD00155,High-Speed Parts Bottle 4GUP,Automotive,Parts,1381,1152.81
156,Beauty,Fragrance,4719,10.03,SUP0005,PROD00156,Smart Fragrance Printer TBK2,Beauty,Fragrance,4672,12.02
157,Home & Kitchen,Decor,1454,174.51,SUP0005,PROD00157,Pro Decor Helmet RZY4,Home & Kitchen,Decor,1434,233.62
158,Office,Stationery,3478,43.95,SUP0005,PROD00158,Pro Stationery Cleaner MSF8,Office,Stationery,3470,59.53
159,Office,Organization,1019,497.04,SUP0005,PROD00159,High-Speed Organization Camera S4UN,Office,Organization,1011,581.54
160,Electronics,Tablets,3849,1091.66,SUP0005,PROD00160,Multi-Purpose Tablets Blender 0CKL,Electronics,Tablets,3836,1407.07
161,Toys,Educational,4901,6.15,SUP0005,PROD00161,Advanced Educational Printer QOV9,Toys,Educational,4856,8.59
162,Toys,Board Games,969,24.33,SUP0005,PROD00162,Multi-Purpose Board Games Keyboard U1WU,Toys,Board Games,919,29.17
163,Automotive,Accessories,648,735.53,SUP0005,PROD00163,High-Speed Accessories Device IWW1,Automotive,Accessories,604,1041.82
164,Sports,Fitness,2035,155.85,SUP0005,PROD00164,Smart Fitness Set 0HQ4,Sports,Fitness,2034,202.28
165,Home & Kitchen,Storage,960,66.17,SUP0005,PROD00165,Advanced Storage Device BXIA,Home & Kitchen,Storage,915,72.76
166,Automotive,Tools,2685,1144.84,SUP0005,PROD00166,Classic Tools Bag JBR1,Automotive,Tools,2637,1166.84
167,Office,Printers,3060,585.89,SUP0005,PROD00167,Multi-Purpose Printers Speaker 7Q22,Office,Printers,3016,730.42
168,Sports,Team Sports,3244,780.56,SUP0005,PROD00168,Premium Team Sports Shoes J0Q7,Sports,Team Sports,3220,786.18
169,Beauty,Makeup,3958,133.44,SUP0005,PROD00169,High-Speed Makeup Bundle QW0T,Beauty,Makeup,3927,147.21
170,Sports,Team Sports,2450,292.57,SUP0005,PROD00170,High-Speed Team Sports Camera H3DB,Sports,Team Sports,2446,353.47
171,Office,Printers,2727,99.23,SUP0005,PROD00171,Premium Printers Mixer QINO,Office,Printers,2705,101.2
172,Home & Kitchen,Cleaning,3513,402.64,SUP0005,PROD00172,High-Speed Cleaning Helmet LCDB,Home & Kitchen,Cleaning,3507,476.57
173,Electronics,Smartphones,106,122.85,SUP0005,PROD00173,Smart Smartphones Camera C1GV,Electronics,Smartphones,70,141.04
174,Electronics,Tablets,1993,469.53,SUP0005,PROD00174,Ergonomic Tablets Blender IH4A,Electronics,Tablets,1982,581.86
175,Home & Kitchen,Cleaning,4771,445.77,SUP0005,PROD00175,Durable Cleaning Helmet WBCO,Home & Kitchen,Cleaning,4723,548.22
176,Toys,Educational,1602,189.5,SUP0005,PROD00176,Durable Educational Shoes 8G2J,Toys,Educational,1579,207.9
177,Office,Stationery,2554,312.14,SUP0005,PROD00177,Smart Stationery Device U2G7,Office,Stationery,2505,356.16
178,Toys,Dolls,1981,87.13,SUP0005,PROD00178,Compact Dolls Chair QIC3,Toys,Dolls,1939,103.04
179,Toys,Board Games,4135,188.68,SUP0005,PROD00179,Compact Board Games System VWZZ,Toys,Board Games,4118,189.68
180,Home & Kitchen,Cookware,2898,476.21,SUP0005,PROD00180,Pro Cookware Kit J070,Home & Kitchen,Cookware,2869,482.57
181,Electronics,Smartphones,5030,653.55,SUP0005,PROD00181,Advanced Smartphones Cleaner TD1N,Electronics,Smartphones,4998,662.1
182,Home & Kitchen,Decor,3724,443.8,SUP0005,PROD00182,Advanced Decor Speaker 39SV,Home & Kitchen,Decor,3722,585.51
183,Automotive,Parts,4152,961.59,SUP0005,PROD00183,Pro Parts Chair T708,Automotive,Parts,4107,1244.4
184,Electronics,Tablets,1784,856.97,SUP0005,PROD00184,Multi-Purpose Tablets Set UQRQ,Electronics,Tablets,1763,969.94
185,Beauty,Body,3183,160.05,SUP0005,PROD00185,Smart Body Helmet 0QKV,Beauty,Body,3143,189.19
186,Home & Kitchen,Decor,539,390.42,SUP0005,PROD00186,Lite Decor Device 2XQQ,Home & Kitchen,Decor,525,500.28
187,Automotive,Care,746,1087.08,SUP0005,PROD00187,High-Speed Care Helmet AR7G,Automotive,Care,718,1163.66
188,Grocery,Snacks,4845,144.4,SUP0005,PROD00188,Wireless Snacks Bottle G278,Grocery,Snacks,4807,167.32
189,Beauty,Skincare,4833,349.78,SUP0005,PROD00189,Lite Skincare Chair FFXK,Beauty,Skincare,4828,398.9
190,Sports,Cycling,2615,139.97,SUP0005,PROD00190,Premium Cycling Set II82,Sports,Cycling,2609,141.14
191,Toys,Action Figures,3804,193.56,SUP0005,PROD00191,Smart Action Figures Keyboard QC2K,Toys,Action Figures,3799,202.0
192,Sports,Running,4533,275.69,SUP0005,PROD00192,High-Speed Running Device YLQU,Sports,Running,4488,391.24
193,Toys,Board Games,1237,145.18,SUP0005,PROD00193,Pro Board Games System 5JZU,Toys,Board Games,1198,172.33
194,Toys,Dolls,4269,194.6,SUP0005,PROD00194,Adjustable Dolls Shoes S2G6,Toys,Dolls,4265,232.44
195,Beauty,Skincare,1884,141.55,SUP0005,PROD00195,High-Speed Skincare Mixer QBGV,Beauty,Skincare,1858,144.86
196,Automotive,Care,4384,556.7,SUP0005,PROD00196,Multi-Purpose Care Keyboard UMXQ,Automotive,Care,4344,712.36
197,Office,Stationery,4912,740.49,SUP0005,PROD00197,Smart Stationery Helmet 3148,Office,Stationery,4874,761.33
198,Home & Kitchen,Cookware,1271,339.34,SUP0005,PROD00198,Pro Cookware Lamp WXJZ,Home & Kitchen,Cookware,1258,399.77
199,Grocery,Produce,525,114.9,SUP0005,PROD00199,Smart Produce Blender XX03,Grocery,Produce,519,160.92
200,Beauty,Fragrance,1207,144.26,SUP0005,PROD00200,Eco Fragrance Helmet 59LZ,Beauty,Fragrance,1193,180.94
201,Home & Kitchen,Appliances,715,264.55,SUP0005,PROD00201,Adjustable Appliances Mixer 2WAT,Home & Kitchen,Appliances,692,363.91
202,Home & Kitchen,Cookware,3219,527.59,SUP0005,PROD00202,Compact Cookware Bag JMG1,Home & Kitchen,Cookware,3171,663.1
203,Beauty,Fragrance,576,173.15,SUP0005,PROD00203,Smart Fragrance Device 3650,Beauty,Fragrance,571,232.65
204,Grocery,Pantry,2255,78.32,SUP0005,PROD00204,Classic Pantry Kit VRHP,Grocery,Pantry,2245,81.82
205,Office,Paper,3764,875.95,SUP0005,PROD00205,Compact Paper Mixer CZ2I,Office,Paper,3726,919.32
206,Office,Stationery,1076,493.1,SUP0005,PROD00206,High-Speed Stationery Speaker G0VX,Office,Stationery,1044,536.57
207,Home & Kitchen,Appliances,2290,589.43,SUP0005,PROD00207,High-Speed Appliances Monitor 3HPT,Home & Kitchen,Appliances,2249,621.54
208,Automotive,Parts,3510,304.09,SUP0005,PROD00208,Eco Parts Helmet ES8J,Automotive,Parts,3500,366.27
209,Beauty,Skincare,4592,144.26,SUP0005,PROD00209,Wireless Skincare Monitor 2AE9,Beauty,Skincare,4572,174.7
210,Office,Organization,1961,543.09,SUP0005,PROD00210,Compact Organization System AZEG,Office,Organization,1928,699.42
211,Automotive,Care,2134,494.2,SUP0005,PROD00211,Advanced Care Speaker UKEZ,Automotive,Care,2089,618.72
212,Electronics,Smartphones,3917,1585.36,SUP0005,PROD00212,Lite Smartphones Bundle TIN2,Electronics,Smartphones,3896,1782.73
213,Electronics,Smartphones,2542,100.14,SUP0005,PROD00213,Compact Smartphones Monitor 3N1Q,Electronics,Smartphones,2523,110.1
214,Electronics,Audio,3454,1345.71,SUP0005,PROD00214,Classic Audio Bag 2MQC,Electronics,Audio,3416,1391.98
215,Sports,Running,2128,41.09,SUP0005,PROD00215,Ultra Running Device HNIY,Sports,Running,2087,45.69
216,Office,Printers,3774,714.51,SUP0005,PROD00216,High-Speed Printers Chair F1E2,Office,Printers,3753,872.84
